Name,State,CPUs,Memory Size (MB),Guest OS,Status,Provisioned Space,Used Space,Host,DNS Name,Managed By
JUD-TYLER-DC01,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,184.18  GB,38.53  GB,eagpvxnode01.ea.dii.state.vt.us,CMS-DC03a.cms.crt.state.vt.us,
PSD-DevEcrtWeb1,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,128.19  GB,38.04  GB,eagpvxnode12.ea.dii.state.vt.us,PSD-DEVECRTWEB1.vsms.state.vt.us,
EAG-VLAN3724DMZ-pfSenseTest,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,37.81  GB,eagpvxnode07.ea.dii.state.vt.us,WIN-N45HCEPQ21A.ea.dii.state.vt.us,
EAG-VLAN3722-pfSenseTest,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,37.67  GB,eagpvxnode14.ea.dii.state.vt.us,WIN-56GD2565M68.ea.dii.state.vt.us,
EAG-VLAN3723-pfSenseTest,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,37.64  GB,eagpvxnode07.ea.dii.state.vt.us,WIN-MBBB563806G.ea.dii.state.vt.us,
CS-Test2016-A,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,36.44  GB,eagpvxnode12.ea.dii.state.vt.us,WIN-3PR3HGG9Q5G,
fillmore-jump,Powered On,1,1024,Microsoft Windows Server 2008 R2 (64-bit),Normal,51.18  GB,35.64  GB,eagpvxnode03.ea.dii.state.vt.us,fillmore-jump.edu.doe.state.vt.us,
ENT-IEM-CSA,Powered On,4,8192,Red Hat Enterprise Linux 6 (64-bit),Normal,38.18  GB,32.97  GB,eagpvxnode11.ea.dii.state.vt.us,,
CS-Test2016-B,Powered Off,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,32.1  GB,eagpvxnode12.ea.dii.state.vt.us,,
ATG-DC02,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,52.18  GB,30.74  GB,eagpvxnode08.ea.dii.state.vt.us,ATG-DC02.atg.state.vt.us,
AGR-INDB2012,Powered On,1,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,83.18  GB,30.65  GB,eagpvxnode06.ea.dii.state.vt.us,AGR-INDB2012.vsms.state.vt.us,
ACCD-CVT-PROD,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,108.73  GB,28.74  GB,eagpvxnode08.ea.dii.state.vt.us,ACCD-CVT-PROD.connectvtadmin.com,
ACCD-CVT-QA,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,82.18  GB,28.57  GB,eagpvxnode07.ea.dii.state.vt.us,ACCD-CVT-QA.connectvtadmin.com,
AGO-Pike,Powered On,2,4096,Microsoft Windows Server 2012 (64-bit),Normal,204.18  GB,26.83  GB,eagpvxnode03.ea.dii.state.vt.us,AGO-Pike.atg.state.vt.us,
ACCD-CVT-QA-PFS,Powered Off,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,82.18  GB,26.25  GB,eagpvxnode12.ea.dii.state.vt.us,,
ACCD-CVT-PROD-PFS,Powered Off,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,82.18  GB,24.42  GB,eagpvxnode03.ea.dii.state.vt.us,,
EAG-PFSENSE-TEST01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,22.16  GB,eagpvxnode07.ea.dii.state.vt.us,ECSTest--PFS81-44-01.ECS,
JUD-HELPDESK,Powered On,2,4096,Red Hat Enterprise Linux 7 (64-bit),Normal,244.18  GB,20.28  GB,eagpvxnode02.ea.dii.state.vt.us,helpdesk.crt.state.vt.us,
AHSORAD01T,Powered On,4,16384,Red Hat Enterprise Linux 6 (64-bit),Normal,3.21  TB,19.53  GB,eagpvxnode12.ea.dii.state.vt.us,,
AHSORAD01P,Powered On,4,16384,Red Hat Enterprise Linux 6 (64-bit),Normal,5.21  TB,19.52  GB,eagpvxnode05.ea.dii.state.vt.us,,
EDU-NSLP,Powered Off,1,1024,Microsoft Windows Server 2003 (32-bit),Normal,51.17  GB,18.46  GB,eagpvxnode08.ea.dii.state.vt.us,EDU-NSLP,
RSA Authentication Appliance,Powered On,1,4096,SUSE Linux Enterprise 11 (64-bit),Normal,108.16  GB,17.42  GB,eagpvxnode16.ea.dii.state.vt.us,Jud-RSA,
AHSORAD01D,Powered On,2,8192,Red Hat Enterprise Linux 6 (64-bit),Normal,2.21  TB,15.53  GB,eagpvxnode12.ea.dii.state.vt.us,,
JUD-FTP,Powered On,1,2048,Red Hat Enterprise Linux 6 (64-bit),Normal,162.18  GB,14.67  GB,eagpvxnode14.ea.dii.state.vt.us,,
JUD-neiconnect,Powered On,1,2048,Red Hat Enterprise Linux 6 (64-bit),Normal,182.18  GB,12.91  GB,eagpvxnode11.ea.dii.state.vt.us,neiconnect.crt.state.vt.us,
EAG-pfSense-CE-PH01,Powered On,2,512,FreeBSD (64-bit),Normal,8.66  GB,8.66  GB,eagpvxnode13.ea.dii.state.vt.us,pfSense.localdomain,
ScaleIO-10.216.34.212,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode12.ea.dii.state.vt.us,ScaleIO-10-216-34-212,
ScaleIO-10.216.34.201,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode01.ea.dii.state.vt.us,ScaleIO-10-216-34-201,
ScaleIO-10.216.34.208,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode08.ea.dii.state.vt.us,ScaleIO-10-216-34-208,
ScaleIO-10.216.34.209,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode09.ea.dii.state.vt.us,ScaleIO-10-216-34-209,
ScaleIO-10.216.34.205,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode05.ea.dii.state.vt.us,ScaleIO-10-216-34-205,
ScaleIO-10.216.34.206,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode06.ea.dii.state.vt.us,ScaleIO-10-216-34-206,
ScaleIO-10.216.34.202,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode02.ea.dii.state.vt.us,ScaleIO-10-216-34-202,
ScaleIO-10.216.34.203,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode03.ea.dii.state.vt.us,ScaleIO-10-216-34-203,
ScaleIO-10.216.34.204,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode04.ea.dii.state.vt.us,ScaleIO-10-216-34-204,
ScaleIO-10.216.34.207,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode07.ea.dii.state.vt.us,ScaleIO-10-216-34-207,
ScaleIO-10.216.34.214,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode14.ea.dii.state.vt.us,ScaleIO-10-216-34-214,
ScaleIO-10.216.34.211,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode11.ea.dii.state.vt.us,ScaleIO-10-216-34-211,
ScaleIO-10.216.34.215,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode15.ea.dii.state.vt.us,ScaleIO-10-216-34-215,
ScaleIO-10.216.34.210,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode10.ea.dii.state.vt.us,ScaleIO-10-216-34-210,
ScaleIO-10.216.34.216,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode16.ea.dii.state.vt.us,ScaleIO-10-216-34-216,
ScaleIO-10.216.34.213,Powered On,8,8192,SUSE Linux Enterprise 11 (64-bit),Normal,8.17  GB,8.17  GB,eagpvxnode13.ea.dii.state.vt.us,ScaleIO-10-216-34-213,
EAG-PFSENSE-TAX01,Powered On,2,4096,FreeBSD (64-bit),Normal,24.16  GB,5.64  GB,eagpvxnode02.ea.dii.state.vt.us,TAX-PFS81-76-1.TAX,
EAG-PFSENSE-TAX02,Powered On,2,4096,FreeBSD (64-bit),Normal,24.16  GB,5.63  GB,eagpvxnode07.ea.dii.state.vt.us,TAX-PFS81-76-2.TAX,
PCoIP_MC_1.10.5,Powered On,2,640,Ubuntu Linux (32-bit),Normal,4.85  GB,4.85  GB,eagpvxnode07.ea.dii.state.vt.us,JUD-PCoIPMGMT,
ENT-CISCO-CDA,Powered On,2,4096,CentOS 4/5/6 (32-bit),Normal,124.18  GB,4.18  GB,eagpvxnode07.ea.dii.state.vt.us,,
EAG-PFSENSE-TEST02,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.61  GB,eagpvxnode15.ea.dii.state.vt.us,ECSTest--PFS81-44-02.EAG,
EAG-PFSENSE-ERP01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.5  GB,eagpvxnode01.ea.dii.state.vt.us,ERP-PFS81-54-1.erp.state.vt.us,
EAG-PFSENSE-ERP02,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.43  GB,eagpvxnode16.ea.dii.state.vt.us,ERP-PFS81-54-2.ERP,
EAG-PFSENSE-CTO02,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.43  GB,eagpvxnode06.ea.dii.state.vt.us,CTO-PFS81-56-2.CTO,
EAG-PFSENSE-CTO01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.43  GB,eagpvxnode02.ea.dii.state.vt.us,CTO-PFS81-56-1.CTO,
EAG-PFSENSE-AHS01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.42  GB,eagpvxnode05.ea.dii.state.vt.us,AHS-PFS81-60-1.ahs,
EAG-PFSENSE-AHS02,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.42  GB,eagpvxnode12.ea.dii.state.vt.us,AHS-PFS81-60-2.ahs,
EAG-PFSENSE-C2TEST01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.42  GB,eagpvxnode14.ea.dii.state.vt.us,C2-TEST01.C2,
EAG-PFSENSE-JUD-DR01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.42  GB,eagpvxnode16.ea.dii.state.vt.us,JUD-DR-PFS81-52-1.JUD,
EAG-PFSENSE-JUD-DR02,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.42  GB,eagpvxnode07.ea.dii.state.vt.us,JUD-DR-PFS81-52-2.JUD,
EAG-PFSENSE-C2TEST02,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.42  GB,eagpvxnode05.ea.dii.state.vt.us,C2-TEST02.C2,
EAG-PFSENSE-ANR01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.42  GB,eagpvxnode02.ea.dii.state.vt.us,ANR-PFS81-58-1.ANR,
EAG-PFSENSE-ANR02,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.42  GB,eagpvxnode04.ea.dii.state.vt.us,ANR-PFS81-58-2.ANR,
EAG-PFSENSE-DOL01,Powered On,2,2048,FreeBSD (64-bit),Normal,10.16  GB,3.39  GB,eagpvxnode03.ea.dii.state.vt.us,DOL-PFS80-42-01.DOL,
EAG-PFSENSE-DOL02,Powered On,2,2048,FreeBSD (64-bit),Normal,10.16  GB,3.39  GB,eagpvxnode02.ea.dii.state.vt.us,DOL-PFS80-42-02.DOL,
EAG-PFSENSE-JUD02,Powered On,2,2048,FreeBSD (64-bit),Normal,10.16  GB,3.38  GB,eagpvxnode15.ea.dii.state.vt.us,JUD-PFS81-48-2.JUD,
EAG-PFSENSE-JUD01,Powered On,2,2048,FreeBSD (64-bit),Normal,10.16  GB,3.38  GB,eagpvxnode08.ea.dii.state.vt.us,JUD-PFS81-48-1.JUD,
vShield-Edge-JUD-0,Powered On,4,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode03.ea.dii.state.vt.us,vShield-Edge-JUD-0,
vShield-Edge-JUD-1,Powered On,4,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode15.ea.dii.state.vt.us,vShield-Edge-JUD-1,
vShield-Edge-VxRack-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode02.ea.dii.state.vt.us,vShield-Edge-VxRack-0,
vShield-Edge-AHS-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode14.ea.dii.state.vt.us,vShield-Edge-AHS-1,
vShield-Edge-EX-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode10.ea.dii.state.vt.us,vShield-Edge-EX-1,
vShield-Edge-EDU-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode10.ea.dii.state.vt.us,vShield-Edge-EDU-0,
vShield-Edge-ANR-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode07.ea.dii.state.vt.us,vShield-Edge-ANR-1,
vShield-Edge-GEN-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode04.ea.dii.state.vt.us,vShield-Edge-GEN-0,
Test-O-Rama-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode03.ea.dii.state.vt.us,vShield-Edge-Test-O-Rama-1,
vShield-Edge-GEN-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode03.ea.dii.state.vt.us,vShield-Edge-GEN-1,
vShield-Edge-VxRack-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode10.ea.dii.state.vt.us,vShield-Edge-VxRack-1,
Test-O-Rama-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode01.ea.dii.state.vt.us,vShield-Edge-Test-O-Rama-0,
vShield-Edge-EDU-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode03.ea.dii.state.vt.us,vShield-Edge-EDU-1,
vShield-Edge-AHS-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode10.ea.dii.state.vt.us,vShield-Edge-AHS-0,
vShield-Edge-EX-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode02.ea.dii.state.vt.us,vShield-Edge-EX-0,
vShield-Edge-ANR-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode06.ea.dii.state.vt.us,vShield-Edge-ANR-0,
vShield-Edge-DII-0,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode04.ea.dii.state.vt.us,vShield-Edge-DII-0,
vShield-Edge-DII-1,Powered On,2,1024,Other (32-bit),Normal,1.6  GB,1.6  GB,eagpvxnode13.ea.dii.state.vt.us,vShield-Edge-DII-1,
EAG-PFSENSE-ACCD01,Powered Off,2,2048,FreeBSD (64-bit),Normal,22.16  GB,1.26  GB,eagpvxnode05.ea.dii.state.vt.us,,
EAG-PFSENSE-ACCD02,Powered Off,2,2048,FreeBSD (64-bit),Normal,22.16  GB,1.26  GB,eagpvxnode02.ea.dii.state.vt.us,,
Vshield-Edge-eamigtest-1,Powered On,1,256,Other (32-bit),Normal,868.76  MB,868.76  MB,eagpvxnode02.ea.dii.state.vt.us,vShield-edge-28-1,
vShield-Edge-E911-1,Powered On,1,256,Other (32-bit),Normal,867.86  MB,867.86  MB,eagpvxnode02.ea.dii.state.vt.us,vShield-Edge-E911-1,
vShield-Edge-VCGI-0,Powered On,1,256,Other (32-bit),Normal,867.85  MB,867.85  MB,eagpvxnode01.ea.dii.state.vt.us,vShield-Edge-VCGI-0,
vShield-Edge-EA-1,Powered On,1,256,Other (32-bit),Normal,867.68  MB,867.68  MB,eagpvxnode14.ea.dii.state.vt.us,vShield-Edge-EA-1,
vShield-Edge-AGO-0,Powered On,1,256,Other (32-bit),Normal,867.64  MB,867.64  MB,eagpvxnode02.ea.dii.state.vt.us,vShield-Edge-AGO-0,
vShield-Edge-DIIDMZ-0,Powered On,1,256,Other (32-bit),Normal,867.63  MB,867.63  MB,eagpvxnode03.ea.dii.state.vt.us,vShield-Edge-DIIDMZ-0,
vShield-Edge-TRE-0,Powered On,1,256,Other (32-bit),Normal,867.63  MB,867.63  MB,eagpvxnode04.ea.dii.state.vt.us,vShield-Edge-TRE-0,
vShield-Edge-PSB-1,Powered On,1,256,Other (32-bit),Normal,867.62  MB,867.61  MB,eagpvxnode02.ea.dii.state.vt.us,vShield-Edge-PSB-1,
vShield-Edge-AHSFiles-1,Powered On,1,256,Other (32-bit),Normal,867.61  MB,867.61  MB,eagpvxnode06.ea.dii.state.vt.us,vShield-Edge-AHSFiles-1,
vShield-Edge-DLC-0,Powered On,1,256,Other (32-bit),Normal,867.61  MB,867.61  MB,eagpvxnode10.ea.dii.state.vt.us,vShield-Edge-DLC-0,
vShield-Edge-E911-0,Powered On,1,256,Other (32-bit),Normal,867.46  MB,867.46  MB,eagpvxnode01.ea.dii.state.vt.us,vShield-Edge-E911-0,
vShield-Edge-VCGI-1,Powered On,1,256,Other (32-bit),Normal,867.46  MB,867.46  MB,eagpvxnode11.ea.dii.state.vt.us,vShield-Edge-VCGI-1,
vShield-Edge-PSB-0,Powered On,1,256,Other (32-bit),Normal,867.45  MB,867.45  MB,eagpvxnode11.ea.dii.state.vt.us,vShield-Edge-PSB-0,
vShield-Edge-AHSFiles-0,Powered On,1,256,Other (32-bit),Normal,867.45  MB,867.45  MB,eagpvxnode10.ea.dii.state.vt.us,vShield-Edge-AHSFiles-0,
vShield-Edge-AGO-1,Powered On,1,256,Other (32-bit),Normal,867.24  MB,867.24  MB,eagpvxnode03.ea.dii.state.vt.us,vShield-Edge-AGO-1,
vShield-Edge-DIIDMZ-1,Powered On,1,256,Other (32-bit),Normal,867.24  MB,867.24  MB,eagpvxnode16.ea.dii.state.vt.us,vShield-Edge-DIIDMZ-1,
vShield-Edge-TRE-1,Powered On,1,256,Other (32-bit),Normal,867.23  MB,867.23  MB,eagpvxnode13.ea.dii.state.vt.us,vShield-Edge-TRE-1,
Vshield-Edge-eamigtest-0,Powered On,1,256,Other (32-bit),Normal,867.22  MB,867.22  MB,eagpvxnode13.ea.dii.state.vt.us,vShield-edge-28-0,
vShield-Edge-DLC-1,Powered On,1,256,Other (32-bit),Normal,867.21  MB,867.21  MB,eagpvxnode07.ea.dii.state.vt.us,vShield-Edge-DLC-1,
vShield-Edge-EA-0,Powered On,1,256,Other (32-bit),Normal,867.2  MB,867.2  MB,eagpvxnode02.ea.dii.state.vt.us,vShield-Edge-EA-0,
vShield-Edge-ERP-0,Powered Off,2,1024,Other (32-bit),Normal,1.6  GB,448.26  MB,eagpvxnode05.ea.dii.state.vt.us,vShield-Edge-ERP-0,
vShield-Edge-ERP-1,Powered Off,2,1024,Other (32-bit),Normal,1.6  GB,448.2  MB,eagpvxnode10.ea.dii.state.vt.us,vShield-Edge-ERP-1,
