Name,State,CPUs,Memory Size (MB),Guest OS,Status,Provisioned Space,Used Space,Host,DNS Name,Managed By
ERP-PBROOKS-VM,Powered On,1,4096,Microsoft Windows 10 (64-bit),Normal,54.22  GB,49.58  GB,eagpvxnode06.ea.dii.state.vt.us,pbrooks-vm2.erp.state.vt.us,
ERP-JHARRIS-VM,Powered On,1,4096,Microsoft Windows 10 (64-bit),Normal,54.22  GB,49.23  GB,eagpvxnode14.ea.dii.state.vt.us,jharris-vm2.erp.state.vt.us,
fillmore,Powered On,1,1024,SUSE Linux Enterprise 8/9 (32-bit),Normal,86.18  GB,49.23  GB,eagpvxnode12.ea.dii.state.vt.us,doepie1,
JUD-ONP-STAGE-INT01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,208.18  GB,48.85  GB,eagpvxnode15.ea.dii.state.vt.us,ONP-STAGE-INT01.cms.crt.state.vt.us,
ERP-NCOLLINS-VM,Powered On,1,4096,Microsoft Windows 10 (64-bit),Normal,54.23  GB,48.8  GB,eagpvxnode14.ea.dii.state.vt.us,ncollins-vm2.erp.state.vt.us,
JUD-Jury-WebApp01,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,88.18  GB,48.77  GB,eagpvxnode07.ea.dii.state.vt.us,Jury-WebApp01.eservices.crt.state.vt.us,
ERP-DSHEPARD-VM,Powered On,1,4096,Microsoft Windows 10 (64-bit),Normal,54.23  GB,48.68  GB,eagpvxnode13.ea.dii.state.vt.us,dshepard-vm2.erp.state.vt.us,
JUD-ONP-STAGE-APP01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,208.18  GB,48.43  GB,eagpvxnode14.ea.dii.state.vt.us,ONP-STAGE-APP01.cms.crt.state.vt.us,
AGR-OFProd2012,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,144.18  GB,48.28  GB,eagpvxnode08.ea.dii.state.vt.us,AGR-OFProd2012.vsms.state.vt.us,
JUD-DR-OP-PORT01,Powered On,8,16384,Microsoft Windows Server 2016 (64-bit),Normal,166.19  GB,48.26  GB,eagpvxnode11.ea.dii.state.vt.us,WIN-RKQV7H95EO5,
JUD-DR-OP-EFILE01,Powered On,8,16384,Microsoft Windows Server 2016 (64-bit),Normal,166.19  GB,48.26  GB,eagpvxnode14.ea.dii.state.vt.us,WIN-3ML96F5FPGI,
ERP-JBECKER-VM,Powered On,1,4096,Microsoft Windows 10 (64-bit),Normal,54.22  GB,48.07  GB,eagpvxnode04.ea.dii.state.vt.us,jbecker-vm2.erp.state.vt.us,
EDU-EFT,Powered On,4,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,124.18  GB,48.04  GB,eagpvxnode15.ea.dii.state.vt.us,EDU-EFT.edu.doe.state.vt.us,
VDOL-IUS-DEV-LOG,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,284.18  GB,47.94  GB,eagpvxnode03.ea.dii.state.vt.us,DOL-IUS-DEV-LOG.labor1.labor.state.vt.us,
JUD-ONP-TEST-INT01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,208.19  GB,47.88  GB,eagpvxnode03.ea.dii.state.vt.us,ONP-TEST-INT01.cms.crt.state.vt.us,
JUD-VDISEC1,Powered On,4,10240,Microsoft Windows Server 2008 R2 (64-bit),Normal,94.95  GB,47.48  GB,eagpvxnode02.ea.dii.state.vt.us,JUD-VDISEC1,
JUD-Jury-Web01,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,88.18  GB,47.46  GB,eagpvxnode06.ea.dii.state.vt.us,Jury-WEB01,
VDOL-IUS-TST-LOG,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,284.18  GB,47.36  GB,eagpvxnode03.ea.dii.state.vt.us,VDOL-IUS-TST-LOG.labor1.labor.state.vt.us,
VLC-SFTP,Powered On,1,1024,Microsoft Windows Server 2008 R2 (64-bit),Normal,61.18  GB,47.27  GB,eagpvxnode14.ea.dii.state.vt.us,VLC-SFTP,
JUD-VDISEC2,Powered On,4,10240,Microsoft Windows Server 2008 R2 (64-bit),Normal,94.5  GB,47.02  GB,eagpvxnode08.ea.dii.state.vt.us,JUD-VDISEC2,
AGO-Kirk,Powered On,4,12288,Microsoft Windows Server 2012 (64-bit),Normal,112.18  GB,46.7  GB,eagpvxnode02.ea.dii.state.vt.us,AGO-Kirk.vsms.state.vt.us,
AGO-Scotty,Powered On,4,12288,Microsoft Windows Server 2008 R2 (64-bit),Normal,112.19  GB,46.59  GB,eagpvxnode01.ea.dii.state.vt.us,AGO-Scotty.vsms.state.vt.us,
ADS-CTOSQL,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,74.18  GB,45.99  GB,eagpvxnode14.ea.dii.state.vt.us,ADS-CTOSQL.vsms.state.vt.us,
VDOL-IUS-TST-APP,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,588.18  GB,45.94  GB,eagpvxnode08.ea.dii.state.vt.us,VDOL-IUS-TST-APP.labor1.labor.state.vt.us,
ANR-TestCapture,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,45.86  GB,eagpvxnode05.ea.dii.state.vt.us,ANR-TestCapture.vtanr.state.vt.us,
JUD-OP-ELS01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,45.76  GB,eagpvxnode06.ea.dii.state.vt.us,OP-ELS01.cms.crt.state.vt.us,
VCGIDEVWEB01,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,125.65  GB,45.67  GB,eagpvxnode03.ea.dii.state.vt.us,VCGIDEVWEB01,
ERP-FMTRNWEB01,Powered On,2,6144,Oracle Linux 4/5/6/7 (64-bit),Normal,106.18  GB,45.13  GB,eagpvxnode01.ea.dii.state.vt.us,fmtrnweb01,
EAG-JonTestpfSenseVM,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,58.18  GB,45.02  GB,eagpvxnode02.ea.dii.state.vt.us,WIN-7U86LLIS2UP,
ENT-DCNET01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,44.92  GB,eagpvxnode04.ea.dii.state.vt.us,ENT-DCNET01.net.state.vt.us,
ERP-FMSBX1WEB01,Powered Off,2,6144,Oracle Linux 4/5/6/7 (64-bit),Normal,106.18  GB,44.86  GB,eagpvxnode12.ea.dii.state.vt.us,,
ERP-FMPRDWEB03,Powered Off,2,6144,Oracle Linux 4/5/6/7 (64-bit),Normal,106.18  GB,44.86  GB,eagpvxnode01.ea.dii.state.vt.us,,
ERP-FMPRDREP01,Powered Off,2,6144,Oracle Linux 4/5/6/7 (64-bit),Normal,106.18  GB,44.86  GB,eagpvxnode10.ea.dii.state.vt.us,,
ERP-FMPRDWEB02,Powered Off,2,6144,Oracle Linux 4/5/6/7 (64-bit),Normal,106.18  GB,44.86  GB,eagpvxnode11.ea.dii.state.vt.us,,
