"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"Generic Linux excluding basic ephemeral dirs","Linux Fileset","dbfmuat2rac02.erp.state.vt.us","Local","NL Two Weeks","2018-07-24 10:49:02","19.5","0.0","120.8","0.0"
"OmniStackVC-10-246-16-100","vSphere VM","eagmnlvca.ea.dii.state.vt.us","Local","Unprotected","2018-01-09 09:04:52","0.0","0.0","0.0","0.0"
"eagmnlepsc","vSphere VM","eagmnlvca.ea.dii.state.vt.us","Local","NL Two Weeks","2018-01-09 10:08:17","5.7","0.0","2.4","0.0"
"EAGMDC02","vSphere VM","eagmnlvca.ea.dii.state.vt.us","Local","NL Two Weeks","2018-01-09 10:08:17","26.0","0.0","-55.0","0.0"
"eagmtvjmp01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvvc01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvdb01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvvum01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvvsn01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvvsn02.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagmsiogw01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagptvpsc01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagptvvc01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagptvpsc02.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Remote","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvvca","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-01-09 14:12:34","14.4","0.0","7.0","0.0"
"eagmsecret01","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-03-12 17:40:47","30.6","0.0","-65.8","0.0"
"eagmwsus01","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-03-27 13:20:11","421.7","0.0","1209.9","0.0"
"eagmtvrubrikproxy","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-07-12 10:51:43","2.9","0.0","4.4","0.0"
"OmniStackVC-10-216-16-102","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","Unprotected","2018-01-09 08:59:26","0.0","0.0","0.0","0.0"
"eagwphaightv","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-05-02 13:20:20","1.8","0.0","-0.2","0.0"
"eagpvrops02","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-05-03 18:07:24","108.3","0.0","34.4","0.0"
"OmniStackVC-10-216-16-105","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","Unprotected","2018-01-09 08:59:26","0.0","0.0","0.0","0.0"
"eagpvrops03","vSphere VM","eagmtvvca.ea.dii.state.vt.us","Remote","TV Two Weeks","2018-05-16 12:50:15","107.5","0.0","111.0","0.0"
