Name,State,CPUs,Memory Size (MB),Guest OS,Status,Provisioned Space,Used Space,Host,Managed By
AGR-INDB2012,Powered On,1,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,83.18  GB,83.18  GB,eagpvxnode06.ea.dii.state.vt.us,
AGR-Milk,Powered On,2,2048,Red Hat Enterprise Linux 5 (32-bit),Normal,184.93  GB,184.93  GB,eagpvxnode07.ea.dii.state.vt.us,
AGR-OFProd2012,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,144.18  GB,46.97  GB,eagpvxnode08.ea.dii.state.vt.us,
AGR-OFWQ2012,Powered On,2,8192,Microsoft Windows Server 2012 (64-bit),Normal,258.18  GB,258.18  GB,eagpvxnode12.ea.dii.state.vt.us,
AGR-ProdDB02,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,127.18  GB,127.18  GB,eagpvxnode09.ea.dii.state.vt.us,
AGR-Test2012,Powered On,2,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,143.18  GB,60.81  GB,eagpvxnode13.ea.dii.state.vt.us,
ATG-DC02,Powered On,1,2048,Microsoft Windows Server 2008 R2 (64-bit),Normal,52.18  GB,30.29  GB,eagpvxnode08.ea.dii.state.vt.us,
BGS-Lutron,Powered On,1,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,258.18  GB,56.61  GB,eagpvxnode15.ea.dii.state.vt.us,
BGS-SIEMENS,Powered On,2,16384,Microsoft Windows Server 2016 (64-bit),Normal,1.02  TB,78.18  GB,eagpvxnode16.ea.dii.state.vt.us,
BGS-SQLDB,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,124.18  GB,124.18  GB,eagpvxnode01.ea.dii.state.vt.us,
CS-Test2016-A,Powered Off,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,32.1  GB,eagpvxnode07.ea.dii.state.vt.us,
CS-Test2016-B,Powered Off,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,32.08  GB,eagpvxnode09.ea.dii.state.vt.us,
DOL-DEV-APP,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,588.18  GB,55.52  GB,eagpvxnode15.ea.dii.state.vt.us,
DOL-DEV-DB,Powered On,4,10240,Microsoft Windows Server 2016 (64-bit),Normal,1.06  TB,46.36  GB,eagpvxnode08.ea.dii.state.vt.us,
DOL-DEV-RABBITMQ,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,284.18  GB,40.58  GB,eagpvxnode12.ea.dii.state.vt.us,
DOL-DEV-WEB,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,284.18  GB,44.1  GB,eagpvxnode13.ea.dii.state.vt.us,
DOL-TST-APP,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,588.18  GB,45.4  GB,eagpvxnode08.ea.dii.state.vt.us,
DOL-TST-DB,Powered On,4,12288,Microsoft Windows Server 2016 (64-bit),Normal,1.07  TB,50.89  GB,eagpvxnode14.ea.dii.state.vt.us,
DOL-TST-RABBITMQ,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,284.18  GB,36.43  GB,eagpvxnode03.ea.dii.state.vt.us,
DOL-TST-WEB,Powered On,1,4096,Microsoft Windows Server 2016 (64-bit),Normal,284.18  GB,38.92  GB,eagpvxnode07.ea.dii.state.vt.us,
E911-AGSNL,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,238.18  GB,235.82  GB,eagpvxnode02.ea.dii.state.vt.us,
E911-DC1,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,304.18  GB,293.32  GB,eagpvxnode03.ea.dii.state.vt.us,
E911-GIS,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,238.18  GB,236.44  GB,eagpvxnode04.ea.dii.state.vt.us,
EAG-JonTestpfSenseVM,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,58.18  GB,43.69  GB,eagpvxnode13.ea.dii.state.vt.us,
EAG-pfSense-CE-PH01,Powered On,2,512,FreeBSD (64-bit),Normal,8.66  GB,8.66  GB,eagpvxnode13.ea.dii.state.vt.us,
EAG-PFSENSE-CTO01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.15  GB,eagpvxnode09.ea.dii.state.vt.us,
EAG-PFSENSE-CTO02,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.15  GB,eagpvxnode06.ea.dii.state.vt.us,
EAG-PFSENSE-DOL01,Powered On,2,2048,FreeBSD (64-bit),Normal,10.16  GB,3.37  GB,eagpvxnode03.ea.dii.state.vt.us,
EAG-PFSENSE-DOL02,Powered On,2,2048,FreeBSD (64-bit),Normal,10.16  GB,3.37  GB,eagpvxnode02.ea.dii.state.vt.us,
EAG-PFSENSE-ERP01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.14  GB,eagpvxnode02.ea.dii.state.vt.us,
EAG-PFSENSE-ERP01-Old,Powered Off,2,2048,FreeBSD (64-bit),Normal,20.16  GB,10.02  GB,eagpvxnode13.ea.dii.state.vt.us,
EAG-PFSENSE-ERP02,Powered On,2,2048,FreeBSD (64-bit),Normal,24.25  GB,4.26  GB,eagpvxnode16.ea.dii.state.vt.us,
EAG-PFSENSE-JUD-DR01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.42  GB,eagpvxnode09.ea.dii.state.vt.us,
EAG-PFSENSE-JUD-DR02,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.42  GB,eagpvxnode07.ea.dii.state.vt.us,
EAG-PFSENSE-JUD01,Powered On,2,2048,FreeBSD (64-bit),Normal,10.16  GB,3.35  GB,eagpvxnode09.ea.dii.state.vt.us,
EAG-PFSENSE-JUD01-Old,Powered Off,2,2048,FreeBSD (64-bit),Normal,10.16  GB,1.19  GB,eagpvxnode03.ea.dii.state.vt.us,
EAG-PFSENSE-JUD02,Powered On,2,2048,FreeBSD (64-bit),Normal,10.16  GB,3.35  GB,eagpvxnode15.ea.dii.state.vt.us,
EAG-PFSENSE-TEST01,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,22.16  GB,eagpvxnode09.ea.dii.state.vt.us,
EAG-PFSENSE-TEST02,Powered On,2,2048,FreeBSD (64-bit),Normal,22.16  GB,3.3  GB,eagpvxnode15.ea.dii.state.vt.us,
EAG-VLAN3722-pfSenseTest,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,36.28  GB,eagpvxnode14.ea.dii.state.vt.us,
EAG-VLAN3723-pfSenseTest,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,36.28  GB,eagpvxnode07.ea.dii.state.vt.us,
EAG-VLAN3724DMZ-pfSenseTest,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,54.18  GB,37.71  GB,eagpvxnode07.ea.dii.state.vt.us,
EDU-DKR-01,Powered On,1,524196,Other Linux (64-bit),Normal,562.07  GB,562.07  GB,eagpvxnode10.ea.dii.state.vt.us,
ENT-AADSync,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Alert,108.18  GB,74.48  GB,eagpvxnode03.ea.dii.state.vt.us,
ENT-ADAUDIT,Powered On,1,3072,Microsoft Windows Server 2008 R2 (64-bit),Normal,233.18  GB,233.18  GB,eagpvxnode16.ea.dii.state.vt.us,
ENT-CA,Powered On,2,4096,Microsoft Windows Server 2016 (64-bit),Normal,74.18  GB,40.03  GB,eagpvxnode03.ea.dii.state.vt.us,
ENT-CISCO-CDA,Powered On,2,4096,CentOS 4/5/6 (32-bit),Normal,124.18  GB,4.18  GB,eagpvxnode07.ea.dii.state.vt.us,
ENT-DCNET01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,88.18  GB,eagpvxnode04.ea.dii.state.vt.us,
ENT-DCNET01A,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,41.97  GB,eagpvxnode07.ea.dii.state.vt.us,
ENT-DCNET02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,40.34  GB,eagpvxnode05.ea.dii.state.vt.us,
ENT-DCNET02A,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,40.34  GB,eagpvxnode02.ea.dii.state.vt.us,
ENT-DCVSMS01,Powered On,2,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,88.18  GB,88.18  GB,eagpvxnode06.ea.dii.state.vt.us,
ENT-DCVSMS01A,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,41.75  GB,eagpvxnode06.ea.dii.state.vt.us,
ENT-DCVSMS02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,88.18  GB,eagpvxnode07.ea.dii.state.vt.us,
ENT-DCVSMS02A,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,41.87  GB,eagpvxnode14.ea.dii.state.vt.us,
ENT-DCVSMS03,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,88.18  GB,eagpvxnode08.ea.dii.state.vt.us,
ENT-DCVSMS04,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,88.18  GB,42.43  GB,eagpvxnode09.ea.dii.state.vt.us,
ENT-EXCH,Powered On,4,8192,Microsoft Windows Server 2012 (64-bit),Normal,4.76  TB,4.53  TB,eagpvxnode01.ea.dii.state.vt.us,
ENT-Footprints-2003,Powered On,2,4096,Microsoft Windows Server 2003 (64-bit),Normal,277.56  GB,254.06  GB,eagpvxnode01.ea.dii.state.vt.us,
ENT-IEM-CORE,Powered On,8,20480,Microsoft Windows Server 2016 (64-bit),Normal,680.19  GB,543.74  GB,eagpvxnode10.ea.dii.state.vt.us,
ENT-IEM-CSA,Powered On,4,8192,Red Hat Enterprise Linux 6 (64-bit),Normal,38.18  GB,38.18  GB,eagpvxnode11.ea.dii.state.vt.us,
ENT-IEM-SQL,Powered On,8,32768,Microsoft Windows Server 2016 (64-bit),Normal,482.19  GB,429.04  GB,eagpvxnode12.ea.dii.state.vt.us,
ENT-ISM-UAT,Powered On,2,16384,Microsoft Windows Server 2016 (64-bit),Normal,216.18  GB,216.18  GB,eagpvxnode13.ea.dii.state.vt.us,
ENT-LDMS-Core,Powered On,4,8192,Microsoft Windows Server 2008 R2 (64-bit),Normal,568.18  GB,568.18  GB,eagpvxnode02.ea.dii.state.vt.us,
ENT-LDSD-App,Powered On,2,6144,Microsoft Windows Server 2008 R2 (64-bit),Normal,106.18  GB,106.18  GB,eagpvxnode03.ea.dii.state.vt.us,
ENT-LDSD-UAT,Powered On,2,16384,Microsoft Windows Server 2008 R2 (64-bit),Normal,226.18  GB,226.18  GB,eagpvxnode04.ea.dii.state.vt.us,
ENT-LDSD-Web,Powered On,2,12288,Microsoft Windows Server 2008 R2 (64-bit),Normal,112.18  GB,112.18  GB,eagpvxnode05.ea.dii.state.vt.us,
ENT-MBAM,Powered On,1,12288,Microsoft Windows Server 2012 (64-bit),Normal,62.18  GB,43.48  GB,eagpvxnode06.ea.dii.state.vt.us,
ENT-MBAM-SQL,Powered On,1,12288,Microsoft Windows Server 2012 (64-bit),Normal,62.18  GB,61.59  GB,eagpvxnode07.ea.dii.state.vt.us,
ENT-SEP,Powered On,2,4096,Microsoft Windows Server 2008 R2 (64-bit),Normal,114.18  GB,112.92  GB,eagpvxnode08.ea.dii.state.vt.us,
ENT-SP-APP,Powered On,2,12288,Microsoft Windows Server 2012 (64-bit),Normal,192.18  GB,151.76  GB,eagpvxnode09.ea.dii.state.vt.us,
ENT-SP-SQL,Powered On,2,7168,Microsoft Windows Server 2012 (64-bit),Normal,442.18  GB,442.18  GB,eagpvxnode10.ea.dii.state.vt.us,
ENT-SP-WEB,Powered On,2,7168,Microsoft Windows Server 2012 (64-bit),Normal,157.18  GB,125.43  GB,eagpvxnode11.ea.dii.state.vt.us,
