Name,State,CPUs,Memory Size (MB),Guest OS,Status,Provisioned Space,Used Space,Host,Managed By
JUD-DR-OP-PORT01,Powered Off,8,16384,Microsoft Windows Server 2016 (64-bit),Normal,166.19  GB,32.03  GB,eagpvxnode05.ea.dii.state.vt.us,
JUD-ONP-CONV-APPJOB01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,40.28  GB,eagpvxnode07.ea.dii.state.vt.us,
JUD-ONP-DB02,Powered On,6,32768,Microsoft Windows Server 2016 (64-bit),Normal,632.19  GB,64.27  GB,eagpvxnode05.ea.dii.state.vt.us,
JUD-ONP-TESTA-APP01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,40.28  GB,eagpvxnode15.ea.dii.state.vt.us,
JUD-ONP-TESTA-ELS01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,40.28  GB,eagpvxnode11.ea.dii.state.vt.us,
JUD-ONP-TESTA-INT01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,40.28  GB,eagpvxnode02.ea.dii.state.vt.us,
JUD-ONP-TESTA-PORT01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,40.27  GB,eagpvxnode15.ea.dii.state.vt.us,
JUD-ONP-TRAINA-APPJOB01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,40.28  GB,eagpvxnode09.ea.dii.state.vt.us,
JUD-ONP-TRAINA-INT01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,40.28  GB,eagpvxnode07.ea.dii.state.vt.us,
JUD-OP-APP01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.28  GB,eagpvxnode08.ea.dii.state.vt.us,
JUD-OP-APP02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.28  GB,eagpvxnode12.ea.dii.state.vt.us,
JUD-OP-DB01,Powered On,6,16384,Microsoft Windows Server 2016 (64-bit),Normal,616.19  GB,50.62  GB,eagpvxnode08.ea.dii.state.vt.us,
JUD-OP-DB02,Powered On,6,16384,Microsoft Windows Server 2016 (64-bit),Normal,616.19  GB,48.28  GB,eagpvxnode07.ea.dii.state.vt.us,
JUD-OP-EFILE01,Powered On,8,16384,Microsoft Windows Server 2016 (64-bit),Normal,166.19  GB,48.27  GB,eagpvxnode16.ea.dii.state.vt.us,
JUD-OP-EFILE02,Powered On,8,16384,Microsoft Windows Server 2016 (64-bit),Normal,166.19  GB,48.27  GB,eagpvxnode04.ea.dii.state.vt.us,
JUD-OP-ELS01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,41.69  GB,eagpvxnode06.ea.dii.state.vt.us,
JUD-OP-ELS02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,158.18  GB,42.77  GB,eagpvxnode14.ea.dii.state.vt.us,
JUD-OP-FS01,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.28  GB,eagpvxnode03.ea.dii.state.vt.us,
JUD-OP-FS02,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,42.77  GB,eagpvxnode11.ea.dii.state.vt.us,
JUD-OP-IMG02,Powered On,4,8192,Microsoft Windows Server 2016 (64-bit),Normal,708.18  GB,41.49  GB,eagpvxnode11.ea.dii.state.vt.us,
JUD-OP-INT01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.28  GB,eagpvxnode07.ea.dii.state.vt.us,
JUD-OP-INT02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.26  GB,eagpvxnode02.ea.dii.state.vt.us,
JUD-OP-JOB01,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.28  GB,eagpvxnode15.ea.dii.state.vt.us,
JUD-OP-JOB02,Powered On,2,8192,Microsoft Windows Server 2016 (64-bit),Normal,108.18  GB,40.29  GB,eagpvxnode01.ea.dii.state.vt.us,
