"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"Call-APP01-01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","98.25","57.01","99.87","786.58","2018-08-29 09:39:40","15.3","0.0","-36.4","0.0"
"EDU-Netwrix","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","EDU","74.78","3.96","98.08","51.95","2018-08-24 14:30:32","15.5","0.0","-135.3","0.0"
"EDU-Netwrix","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","74.78","3.96","98.08","51.95","2018-08-24 14:30:32","15.5","0.0","-135.3","0.0"
"EDU-EDE-ETL","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","EDU","90.40","10.42","99.03","103.53","2018-10-19 12:41:59","15.6","0.0","1414.3","0.0"
"EDU-EDE-ETL","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","90.40","10.42","99.03","103.53","2018-10-19 12:41:59","15.6","0.0","1414.3","0.0"
"JUD-VDISEC1","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","74.76","3.96","97.75","44.42","2018-08-28 08:14:27","15.7","0.0","-15.4","0.0"
"JUD-VDISEC1","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","74.76","3.96","97.75","44.42","2018-08-28 08:14:27","15.7","0.0","-15.4","0.0"
"JUD-VDISEC2","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","74.81","3.97","98.00","49.90","2018-08-28 08:14:28","16.1","0.0","-9.3","0.0"
"JUD-VDISEC2","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","74.81","3.97","98.00","49.90","2018-08-28 08:14:28","16.1","0.0","-9.3","0.0"
"EDU-EFT-DMZ","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","EDU","77.55","4.46","98.21","55.78","2018-08-24 14:30:32","16.2","0.0","6.2","0.0"
"EDU-EFT-DMZ","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","77.55","4.46","98.21","55.78","2018-08-24 14:30:32","16.2","0.0","6.2","0.0"
