"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"EDU-Print","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","70.45","3.38","97.15","35.07","2018-08-24 14:30:32","23.0","0.0","74.4","0.0"
"JUD-OP-ELS02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","87.47","7.98","98.90","91.13","2018-07-16 11:53:29","23.0","0.0","440.0","0.0"
"JUD-OP-ELS02","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","87.47","7.98","98.90","91.13","2018-07-16 11:53:29","23.0","0.0","440.0","0.0"
"JUD-OP-APP03","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","82.00","5.55","98.35","60.54","2018-08-28 14:26:29","23.1","0.0","224.5","0.0"
"JUD-OP-APP03","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","82.00","5.55","98.35","60.54","2018-08-28 14:26:29","23.1","0.0","224.5","0.0"
"ANR-TestCapture","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","ANR","80.06","5.01","98.40","62.47","2018-09-23 16:00:38","23.2","0.0","90.1","0.0"
"ANR-TestCapture","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","80.06","5.01","98.40","62.47","2018-09-23 16:00:38","23.2","0.0","90.1","0.0"
"JUD-VDIMOVEAV01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","62.80","2.69","97.12","34.70","2018-08-28 08:14:27","23.2","0.0","35.6","0.0"
"JUD-VDIMOVEAV01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","62.80","2.69","97.12","34.70","2018-08-28 08:14:27","23.2","0.0","35.6","0.0"
"PSD-DevEcrtWeb1","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","Global","84.36","6.39","98.70","76.72","2018-07-06 10:28:23","23.5","0.0","-39.6","0.0"
"JUD-DR-OP-DB01","vSphere VM","eagptvvc01.ea.dii.state.vt.us","Local","TV Two Weeks","JUD","98.02","50.52","99.87","756.28","2018-09-05 12:49:56","23.5","0.0","0.5","0.0"
