Object Name,Object Type,Location,Cluster Location,SLA Domain,Organization,Data Reduction (%),Dedup Ratio,Logical Data Reduction (%),Logical Dedup Ratio,Protected On,Total Local Storage (GB),Total Archive Storage (GB),Local Storage Growth (MB/day),Archive Storage Growth (MB/day)
AHS-DC1,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,69.35,3.26,96.96,32.9,3/29/2018 7:45,29.7,0,34.8,0
AHS-DC1,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,69.35,3.26,96.96,32.9,3/29/2018 7:45,29.7,0,34.8,0
AHS-DC2,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,65.09,2.86,95.72,23.38,3/29/2018 7:45,38.6,0,72.1,0
AHS-DC2,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,65.09,2.86,95.72,23.38,3/29/2018 7:45,38.6,0,72.1,0
AHS-DC3,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,60.62,2.54,95.99,24.92,12/26/2017 15:37,54.3,0,-90.7,0
AHS-DC3,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,60.62,2.54,95.99,24.92,12/26/2017 15:37,54.3,0,-90.7,0
AHS-DC-BURL1,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,71.54,3.51,97.26,36.53,3/29/2018 7:45,26.8,0,63.2,0
AHS-DC-BURL1,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,71.54,3.51,97.26,36.53,3/29/2018 7:45,26.8,0,63.2,0
AHS-PRINTERS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,73.61,3.79,97.68,43.18,6/8/2018 13:34,31.3,0,27.2,0
AHS-PRINTERS,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,73.61,3.79,97.68,43.18,6/8/2018 13:34,31.3,0,27.2,0
AHS-PRTSRV08,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,81.93,5.53,97.08,34.2,12/26/2017 15:37,39.6,0,31.1,0
AHS-PRTSRV08,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,81.93,5.53,97.08,34.2,12/26/2017 15:37,39.6,0,31.1,0
AHS-RSA-CSG2k8,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,64.43,2.81,97.12,34.67,12/26/2017 15:37,21.7,0,-20.9,0
AHS-RSA-CSG2k8,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,64.43,2.81,97.12,34.67,12/26/2017 15:37,21.7,0,-20.9,0
AHS-SECUREID,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,74.82,3.97,97.84,46.38,12/26/2017 15:37,24.9,0,-10.5,0
AHS-SECUREID,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,74.82,3.97,97.84,46.38,12/26/2017 15:37,24.9,0,-10.5,0
AHS-SECURID,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,95.87,24.23,99.71,345.53,10/23/2017 7:31,4.8,0,0.4,0
AHS-SECURID,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Global,95.87,24.23,99.71,345.53,10/23/2017 7:31,4.8,0,0.4,0
AHS-UTILITIES,vSphere VM,eagpvmvc01.ea.dii.state.vt.us,Local,NL Two Weeks,Dave Fortin,59.06,2.44,95.02,20.09,12/26/2017 15:37,37.4,0,-27.9,0
