"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"Generic Linux excluding basic ephemeral dirs","Linux Fileset","10.80.4.111","Remote","Unprotected","2018-12-27 15:37:36","3.0","0.0","-1.0","0.0"
"All","Linux Fileset","\\10.216.53.23\JUD-Misc","Remote","NL Two Weeks NAS","2018-03-29 09:31:49","298.3","0.0","18.0","0.0"
"All","Linux Fileset","\\10.216.53.23\JUD-Shared folders","Remote","NL Two Weeks NAS","2018-03-29 10:09:14","458.0","0.0","587.4","0.0"
"All","Linux Fileset","\\10.244.1.146\ACCD","Remote","NL Two Weeks NAS","2018-01-15 12:25:40","5566.7","0.0","3133.0","0.0"
"All","Linux Fileset","\\10.244.1.146\ACD","Remote","NL Two Weeks NAS","2018-01-15 12:11:13","301.4","0.0","-171.9","0.0"
"All","Linux Fileset","\\10.244.1.146\ADM","Remote","NL Two Weeks NAS","2018-01-15 12:14:54","28.4","0.0","6.6","0.0"
"All","Linux Fileset","\\10.244.1.146\AGR","Remote","NL Two Weeks NAS","2018-01-15 12:15:19","2269.1","0.0","2148.4","0.0"
"All","Linux Fileset","\\10.244.1.146\AUD","Remote","NL Two Weeks NAS","2018-01-15 12:12:59","139.3","0.0","52.6","0.0"
"All","Linux Fileset","\\10.244.1.146\BGS","Remote","NL Two Weeks NAS","2018-01-15 12:11:31","4160.4","0.0","3620.5","0.0"
"All","Linux Fileset","\\10.244.1.146\DHR","Remote","NL Two Weeks NAS","2018-01-15 12:12:13","2027.0","0.0","-286.8","0.0"
"All","Linux Fileset","\\10.244.1.146\DII","Remote","NL Two Weeks NAS","2018-01-15 12:14:20","1154.7","0.0","-341.7","0.0"
"All","Linux Fileset","\\10.244.1.146\EXE","Remote","NL Two Weeks NAS","2018-01-15 12:13:27","32.3","0.0","-0.1","0.0"
"All","Linux Fileset","\\10.244.1.146\FIN","Remote","NL Two Weeks NAS","2018-01-15 12:13:50","245.1","0.0","45.1","0.0"
"All","Linux Fileset","\\10.244.1.146\FSD","Remote","NL Two Weeks NAS","2018-01-15 12:12:35","42.0","0.0","116.9","0.0"
"All","Linux Fileset","\\10.244.1.146\GMCB","Remote","NL Two Weeks NAS","2018-01-15 12:11:49","285.2","0.0","75.0","0.0"
"All","Linux Fileset","\\10.244.1.146\HRC","Remote","NL Two Weeks NAS","2018-01-15 12:10:53","147.2","0.0","-261.1","0.0"
"All","Linux Fileset","\\10.244.1.146\LIB","Remote","NL Two Weeks NAS","2018-01-17 08:22:51","270.1","0.0","355.7","0.0"
"All","Linux Fileset","\\10.244.1.146\LRB","Remote","NL Two Weeks NAS","2018-01-17 08:23:29","1.3","0.0","0.0","0.0"
"All","Linux Fileset","\\10.244.1.146\LTG","Remote","NL Two Weeks NAS","2018-01-17 08:24:13","3.9","0.0","-0.2","0.0"
"All","Linux Fileset","\\10.244.1.146\MIL","Remote","NL Two Weeks NAS","2018-01-17 08:25:09","216.6","0.0","30.2","0.0"
"All","Linux Fileset","\\10.244.1.146\PSB","Remote","NL Two Weeks NAS","2018-01-17 08:25:57","251.5","0.0","15.4","0.0"
"All","Linux Fileset","\\10.244.1.146\PSD","Remote","NL Two Weeks NAS","2018-01-17 08:26:35","1209.5","0.0","-86.7","0.0"
"All","Linux Fileset","\\10.244.1.146\RM","Remote","NL Two Weeks NAS","2018-01-17 08:27:30","70.9","0.0","-1.8","0.0"
"All","Linux Fileset","\\10.244.1.146\SAS","Remote","NL Two Weeks NAS","2018-01-23 14:17:31","15650.1","0.0","31112.7","0.0"
"All","Linux Fileset","\\10.244.1.146\TSProfiles$","Remote","NL Two Weeks NAS","2018-01-23 13:21:25","42.0","0.0","-11.0","0.0"
"All","Linux Fileset","\\10.244.1.146\VCGI","Remote","NL Two Weeks NAS","2018-03-20 11:21:39","16461.9","0.0","80708.6","0.0"
"All","Linux Fileset","\\10.244.1.146\VCJTC","Remote","NL Two Weeks NAS","2018-01-21 13:46:17","711.2","0.0","110.8","0.0"
"All","Linux Fileset","\\10.244.1.146\VCW","Remote","NL Two Weeks NAS","2018-01-21 13:47:14","52.3","0.0","1.6","0.0"
"All","Linux Fileset","\\10.244.1.146\VLC","Remote","NL Two Weeks NAS","2018-01-21 13:47:56","87.4","0.0","-146.4","0.0"
"All","Linux Fileset","\\10.244.1.146\VRB","Remote","NL Two Weeks NAS","2018-01-21 13:49:23","2.7","0.0","-7.2","0.0"
"All","Linux Fileset","\\10.244.1.146\VVH","Remote","NL Two Weeks NAS","2018-01-23 09:02:22","643.8","0.0","659.8","0.0"
"All","Linux Fileset","\\10.244.1.146\WC","Remote","NL Two Weeks NAS","2018-01-23 09:02:45","25.0","0.0","-0.8","0.0"
"All","Linux Fileset","\\10.244.1.146\WS","Remote","NL Two Weeks NAS","2018-01-23 09:03:04","17.9","0.0","-0.9","0.0"
"All","Linux Fileset","\\10.246.14.28\root01$","Remote","NL Two Weeks NAS","2018-02-02 09:15:11","480.7","0.0","267.9","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-CO","Remote","NL Two Weeks NAS","2018-02-09 09:38:18","6721.0","0.0","1413.3","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-DAIL","Remote","NL Two Weeks NAS","2018-02-08 08:30:06","1986.1","0.0","721.7","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-DCF","Remote","NL Two Weeks NAS","2018-02-15 08:58:31","4551.5","0.0","2083.5","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-DMH-VSH","Remote","NL Two Weeks NAS","2018-02-07 08:35:01","869.7","0.0","158.2","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-DOC","Remote","NL Two Weeks NAS","2018-02-17 07:33:13","5553.3","0.0","6073.8","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-DVHA","Remote","NL Two Weeks NAS","2018-02-09 10:57:30","2345.9","0.0","1286.5","0.0"
