"Object Name","Object Type","Location","Cluster Location","SLA Domain","Organization","Data Reduction (%)","Dedup Ratio","Logical Data Reduction (%)","Logical Dedup Ratio","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"All","NAS Fileset","\\10.244.1.146\VRB","Local","NL Two Weeks NAS","Global","70.76","3.42","97.78","45.13","2018-01-21 14:49:23","2.7","0.0","4.8","0.0"
"ERP-NANDERSON-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","97.42","38.74","99.83","581.09","2018-08-07 14:19:03","2.8","0.0","0.0","0.0"
"ERP-NANDERSON-VM","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","97.42","38.74","99.83","581.09","2018-08-07 14:19:03","2.8","0.0","0.0","0.0"
"ENT-CITRIX-NS01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","92.32","13.02","99.38","160.10","2018-05-18 14:19:20","2.8","0.0","-0.5","0.0"
"ENT-CITRIX-NS01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","DII - EAS","92.32","13.02","99.38","160.10","2018-05-18 14:19:20","2.8","0.0","-0.5","0.0"
"ENT-CITRIX-NS01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","92.32","13.02","99.38","160.10","2018-05-18 14:19:20","2.8","0.0","-0.5","0.0"
"eagmvrin01","vSphere VM","eagmvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","87.49","7.99","99.04","104.33","2017-10-09 13:05:21","3.1","0.0","-1.6","0.0"
"FMSBX9WEB01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","94.74","19.03","99.61","257.53","2017-10-24 08:28:54","3.1","0.0","0.6","0.0"
"FMSBX9WEB01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","94.74","19.03","99.61","257.53","2017-10-24 08:28:54","3.1","0.0","0.6","0.0"
"PA-VM-8.0-01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","94.64","18.64","99.64","279.59","2017-10-06 14:37:32","3.5","0.0","0.0","0.0"
"PA-VM-8.0-01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","94.64","18.64","99.64","279.59","2017-10-06 14:37:32","3.5","0.0","0.0","0.0"
"FMSBX9APP01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","ERP","96.13","25.84","99.71","344.66","2017-10-24 08:28:53","3.7","0.0","-2.0","0.0"
"FMSBX9APP01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","96.13","25.84","99.71","344.66","2017-10-24 08:28:53","3.7","0.0","-2.0","0.0"
"DEVM-DC01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","82.72","5.79","98.82","84.88","2017-10-24 08:09:34","3.8","0.0","-0.0","0.0"
"DEVM-DC01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","DII - EAS","82.72","5.79","98.82","84.88","2017-10-24 08:09:34","3.8","0.0","-0.0","0.0"
"DEVM-DC01","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","82.72","5.79","98.82","84.88","2017-10-24 08:09:34","3.8","0.0","-0.0","0.0"
"All","NAS Fileset","\\10.244.1.146\LTG","Local","NL Two Weeks NAS","Global","57.72","2.37","97.13","34.80","2018-01-17 09:24:13","3.9","0.0","0.3","0.0"
"ph-CentOS7-zealot","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","96.36","27.50","99.55","219.84","2017-10-06 14:37:32","3.9","0.0","-0.0","0.0"
"ph-CentOS7-zealot","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","96.36","27.50","99.55","219.84","2017-10-06 14:37:32","3.9","0.0","-0.0","0.0"
"ENT-CISCO-CDA","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","96.69","30.22","99.74","387.03","2018-08-01 10:26:58","4.7","0.0","131.3","0.0"
"ENT-CISCO-CDA","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","DII - EAS","96.69","30.22","99.74","387.03","2018-08-01 10:26:58","4.7","0.0","131.3","0.0"
"ENT-CISCO-CDA","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Global","96.69","30.22","99.74","387.03","2018-08-01 10:26:58","4.7","0.0","131.3","0.0"
"AHS-SECURID","vSphere VM","eagpvmvc01.ea.dii.state.vt.us","Local","NL Two Weeks","Dave Fortin","95.87","24.22","99.71","345.28","2017-10-23 07:31:33","4.9","0.0","0.5","0.0"
