"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"Generic Linux excluding basic ephemeral dirs","Linux Fileset","10.80.4.111","Remote","Testing client","2017-11-14 12:53:35","3.0","0.0","-0.0","0.0"
"All","Linux Fileset","\\10.244.1.146\ACCD","Remote","NL Two Weeks NAS","2018-01-15 12:25:40","5470.0","0.0","2140.0","0.0"
"All","Linux Fileset","\\10.244.1.146\ACD","Remote","NL Two Weeks NAS","2018-01-15 12:11:13","295.9","0.0","-72.2","0.0"
"All","Linux Fileset","\\10.244.1.146\ADM","Remote","NL Two Weeks NAS","2018-01-15 12:14:54","28.2","0.0","9.5","0.0"
"All","Linux Fileset","\\10.244.1.146\AGR","Remote","NL Two Weeks NAS","2018-01-15 12:15:19","2147.2","0.0","3666.8","0.0"
"All","Linux Fileset","\\10.244.1.146\AUD","Remote","NL Two Weeks NAS","2018-01-15 12:12:59","137.3","0.0","48.4","0.0"
"All","Linux Fileset","\\10.244.1.146\BGS","Remote","NL Two Weeks NAS","2018-01-15 12:11:31","4056.8","0.0","-2176.6","0.0"
"All","Linux Fileset","\\10.244.1.146\DHR","Remote","NL Two Weeks NAS","2018-01-15 12:12:13","2026.3","0.0","3453.5","0.0"
"All","Linux Fileset","\\10.244.1.146\DII","Remote","NL Two Weeks NAS","2018-01-15 12:14:20","1159.6","0.0","396.7","0.0"
"All","Linux Fileset","\\10.244.1.146\EXE","Remote","NL Two Weeks NAS","2018-01-15 12:13:27","32.2","0.0","-8.7","0.0"
"All","Linux Fileset","\\10.244.1.146\FIN","Remote","NL Two Weeks NAS","2018-01-15 12:13:50","242.0","0.0","59.2","0.0"
"All","Linux Fileset","\\10.244.1.146\FSD","Remote","NL Two Weeks NAS","2018-01-15 12:12:35","38.7","0.0","44.2","0.0"
"All","Linux Fileset","\\10.244.1.146\GMCB","Remote","NL Two Weeks NAS","2018-01-15 12:11:49","281.4","0.0","-234.3","0.0"
"All","Linux Fileset","\\10.244.1.146\HRC","Remote","NL Two Weeks NAS","2018-01-15 12:10:53","145.3","0.0","130.1","0.0"
"All","Linux Fileset","\\10.244.1.146\LIB","Remote","NL Two Weeks NAS","2018-01-17 08:22:51","258.8","0.0","289.5","0.0"
"All","Linux Fileset","\\10.244.1.146\LRB","Remote","NL Two Weeks NAS","2018-01-17 08:23:29","1.3","0.0","0.2","0.0"
"All","Linux Fileset","\\10.244.1.146\LTG","Remote","NL Two Weeks NAS","2018-01-17 08:24:13","3.9","0.0","-0.2","0.0"
"All","Linux Fileset","\\10.244.1.146\MIL","Remote","NL Two Weeks NAS","2018-01-17 08:25:09","215.4","0.0","21.6","0.0"
"All","Linux Fileset","\\10.244.1.146\PSB","Remote","NL Two Weeks NAS","2018-01-17 08:25:57","250.4","0.0","132.9","0.0"
"All","Linux Fileset","\\10.244.1.146\PSD","Remote","NL Two Weeks NAS","2018-01-17 08:26:35","1205.0","0.0","187.3","0.0"
"All","Linux Fileset","\\10.244.1.146\RM","Remote","NL Two Weeks NAS","2018-01-17 08:27:30","70.9","0.0","0.1","0.0"
"All","Linux Fileset","\\10.244.1.146\SAS","Remote","NL Two Weeks NAS","2018-01-23 14:17:31","14427.3","0.0","10963.6","0.0"
"All","Linux Fileset","\\10.244.1.146\TSProfiles$","Remote","NL Two Weeks NAS","2018-01-23 13:21:25","41.8","0.0","13.9","0.0"
"All","Linux Fileset","\\10.244.1.146\VCGI","Remote","NL Two Weeks NAS","2018-03-20 11:21:39","12102.4","0.0","1908.8","0.0"
"All","Linux Fileset","\\10.244.1.146\VCJTC","Remote","NL Two Weeks NAS","2018-01-21 13:46:17","704.1","0.0","58.7","0.0"
"All","Linux Fileset","\\10.244.1.146\VCW","Remote","NL Two Weeks NAS","2018-01-21 13:47:14","52.3","0.0","3.8","0.0"
"All","Linux Fileset","\\10.244.1.146\VLC","Remote","NL Two Weeks NAS","2018-01-21 13:47:56","96.9","0.0","-126.7","0.0"
"All","Linux Fileset","\\10.244.1.146\VRB","Remote","NL Two Weeks NAS","2018-01-21 13:49:23","2.9","0.0","8.5","0.0"
"All","Linux Fileset","\\10.244.1.146\VVH","Remote","NL Two Weeks NAS","2018-01-23 09:02:22","607.6","0.0","178.6","0.0"
"All","Linux Fileset","\\10.244.1.146\WC","Remote","NL Two Weeks NAS","2018-01-23 09:02:45","25.1","0.0","-0.3","0.0"
"All","Linux Fileset","\\10.244.1.146\WS","Remote","NL Two Weeks NAS","2018-01-23 09:03:04","18.0","0.0","0.4","0.0"
"All","Linux Fileset","\\10.246.14.28\root01$","Remote","NL Two Weeks NAS","2018-02-02 09:15:11","1208.9","0.0","-2605.0","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-CO","Remote","NL Two Weeks NAS","2018-02-09 09:38:18","6658.9","0.0","11382.1","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-DAIL","Remote","NL Two Weeks NAS","2018-02-08 08:30:06","1923.5","0.0","2590.0","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-DCF","Remote","NL Two Weeks NAS","2018-02-15 08:58:31","4438.4","0.0","3641.8","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-DMH-VSH","Remote","NL Two Weeks NAS","2018-02-07 08:35:01","856.0","0.0","571.9","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-DOC","Remote","NL Two Weeks NAS","2018-02-17 07:33:13","5505.0","0.0","12955.2","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-DVHA","Remote","NL Two Weeks NAS","2018-02-09 10:57:30","2306.2","0.0","1445.0","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-VDH","Remote","NL Two Weeks NAS","2018-03-22 06:37:02","9800.0","0.0","5065.1","0.0"
"All","Linux Fileset","\\jud-fs01.crt.state.vt.us\JUD-Misc","Remote","NL Two Weeks NAS","2018-03-29 09:31:49","297.8","0.0","-0.4","0.0"
"All","Linux Fileset","\\jud-fs01.crt.state.vt.us\JUD-Shared folders","Remote","NL Two Weeks NAS","2018-03-29 10:09:14","438.7","0.0","50.5","0.0"
"Generic Linux excluding basic ephemeral dirs","Linux Fileset","dbfmuat2rac01.erp.state.vt.us","Remote","NL Two Weeks","2018-07-24 09:48:33","22.2","0.0","16.1","0.0"
"Generic Linux excluding basic ephemeral dirs","Linux Fileset","dbfmuat2rac02.erp.state.vt.us","Remote","NL Two Weeks","2018-07-24 09:49:02","18.5","0.0","40.8","0.0"
"OmniStackVC-10-246-16-100","vSphere VM","eagmnlvca.ea.dii.state.vt.us","Remote","Unprotected","2018-01-09 08:04:52","0.0","0.0","0.0","0.0"
"eagmnlepsc","vSphere VM","eagmnlvca.ea.dii.state.vt.us","Remote","NL Two Weeks","2018-01-09 09:16:59","5.8","0.0","2.2","0.0"
"EAGMDC02","vSphere VM","eagmnlvca.ea.dii.state.vt.us","Remote","NL Two Weeks","2018-01-09 09:17:00","25.9","0.0","-18.8","0.0"
"eagmtvjmp01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
