"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (B)","Total Archive Storage (B)","Local Storage Growth (B/day)","Archive Storage Growth (B/day)"
"ERP Linux Files","Linux Fileset","dbfmprd01.erp.state.vt.us","Local","TV Two Weeks","2019-01-25 14:23:24","24978998480.0","0.0","4995799696.0","0.0"
"ERP Linux Files","Linux Fileset","dbfmprd02.erp.state.vt.us","Local","TV Two Weeks","2019-01-25 14:24:55","14799220151.0","0.0","415409407.0","0.0"
"ERP Linux Files","Linux Fileset","dbfmuat01.erp.state.vt.us","Local","TV Two Weeks","2019-01-25 14:20:22","20871164314.0","0.0","63075313.0","0.0"
"ERP Linux Files","Linux Fileset","dbfmuat02.erp.state.vt.us","Local","TV Two Weeks","2019-01-25 14:21:27","10446481415.0","0.0","66383536.0","0.0"
"ERP Linux Files","Linux Fileset","dbfmuat2rac01.erp.state.vt.us","Local","TV Two Weeks","2019-01-25 14:24:55","21312748251.0","0.0","422018894.0","0.0"
"Generic Linux excluding basic ephemeral dirs","Linux Fileset","dbfmuat2rac01.erp.state.vt.us","Remote","Unprotected","2019-01-29 08:09:42","25486984819.0","0.0","88807335.0","0.0"
"ERP Linux Files","Linux Fileset","dbfmuat2rac02.erp.state.vt.us","Local","TV Two Weeks","2019-01-25 14:24:55","17346296918.0","0.0","485250778.0","0.0"
"Generic Linux excluding basic ephemeral dirs","Linux Fileset","dbfmuat2rac02.erp.state.vt.us","Remote","Unprotected","2019-01-29 08:09:58","20781913869.0","0.0","98612449.0","0.0"
"EAGMDC02","vSphere VM","eagmnlvca.ea.dii.state.vt.us","Remote","NL Two Weeks","2018-01-09 09:17:00","28056815419.0","0.0","164801612.0","0.0"
"eagmnlepsc","vSphere VM","eagmnlvca.ea.dii.state.vt.us","Remote","NL Two Weeks","2018-01-09 09:16:59","5673101654.0","0.0","8764252.0","0.0"
"OmniStackVC-10-246-16-100","vSphere VM","eagmnlvca.ea.dii.state.vt.us","Remote","Unprotected","2018-01-09 08:04:52","0.0","0.0","0.0","0.0"
"eagmsiogw01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvdb01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvjmp01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvvc01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvvsn01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvvsn02.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
"eagmtvvum01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
"eagptvpsc01.ea.dii.state.vt.us","vSphere VM","eagmtvvc01.ea.dii.state.vt.us","Local","Unprotected","","0.0","0.0","0.0","0.0"
