"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"Generic Linux excluding basic ephemeral dirs","Linux Fileset","10.80.4.111","Remote","Testing client","2017-11-14 12:53:35","3.0","0.0","0.1","0.0"
"All","Linux Fileset","\\10.244.1.146\ACCD","Remote","NL Two Weeks NAS","2018-01-15 12:25:40","5460.1","0.0","2111.0","0.0"
"All","Linux Fileset","\\10.244.1.146\ACD","Remote","NL Two Weeks NAS","2018-01-15 12:11:13","295.3","0.0","-59.5","0.0"
"All","Linux Fileset","\\10.244.1.146\ADM","Remote","NL Two Weeks NAS","2018-01-15 12:14:54","28.1","0.0","2.5","0.0"
"All","Linux Fileset","\\10.244.1.146\AGR","Remote","NL Two Weeks NAS","2018-01-15 12:15:19","2143.4","0.0","4190.3","0.0"
"All","Linux Fileset","\\10.244.1.146\AUD","Remote","NL Two Weeks NAS","2018-01-15 12:12:59","137.5","0.0","72.0","0.0"
"All","Linux Fileset","\\10.244.1.146\BGS","Remote","NL Two Weeks NAS","2018-01-15 12:11:31","4051.9","0.0","-2512.8","0.0"
"All","Linux Fileset","\\10.244.1.146\DHR","Remote","NL Two Weeks NAS","2018-01-15 12:12:13","2048.7","0.0","1953.1","0.0"
"All","Linux Fileset","\\10.244.1.146\DII","Remote","NL Two Weeks NAS","2018-01-15 12:14:20","1159.1","0.0","481.9","0.0"
"All","Linux Fileset","\\10.244.1.146\EXE","Remote","NL Two Weeks NAS","2018-01-15 12:13:27","32.2","0.0","-8.7","0.0"
"All","Linux Fileset","\\10.244.1.146\FIN","Remote","NL Two Weeks NAS","2018-01-15 12:13:50","241.8","0.0","65.2","0.0"
"All","Linux Fileset","\\10.244.1.146\FSD","Remote","NL Two Weeks NAS","2018-01-15 12:12:35","38.6","0.0","72.7","0.0"
"All","Linux Fileset","\\10.244.1.146\GMCB","Remote","NL Two Weeks NAS","2018-01-15 12:11:49","283.4","0.0","-162.0","0.0"
"All","Linux Fileset","\\10.244.1.146\HRC","Remote","NL Two Weeks NAS","2018-01-15 12:10:53","145.3","0.0","131.0","0.0"
"All","Linux Fileset","\\10.244.1.146\LIB","Remote","NL Two Weeks NAS","2018-01-17 08:22:51","258.8","0.0","487.9","0.0"
"All","Linux Fileset","\\10.244.1.146\LRB","Remote","NL Two Weeks NAS","2018-01-17 08:23:29","1.3","0.0","0.2","0.0"
"All","Linux Fileset","\\10.244.1.146\LTG","Remote","NL Two Weeks NAS","2018-01-17 08:24:13","3.9","0.0","-0.1","0.0"
"All","Linux Fileset","\\10.244.1.146\MIL","Remote","NL Two Weeks NAS","2018-01-17 08:25:09","215.2","0.0","23.6","0.0"
"All","Linux Fileset","\\10.244.1.146\PSB","Remote","NL Two Weeks NAS","2018-01-17 08:25:57","250.3","0.0","128.7","0.0"
"All","Linux Fileset","\\10.244.1.146\PSD","Remote","NL Two Weeks NAS","2018-01-17 08:26:35","1205.3","0.0","207.5","0.0"
"All","Linux Fileset","\\10.244.1.146\RM","Remote","NL Two Weeks NAS","2018-01-17 08:27:30","89.5","0.0","579.3","0.0"
"All","Linux Fileset","\\10.244.1.146\SAS","Remote","NL Two Weeks NAS","2018-01-23 14:17:31","14383.2","0.0","9435.1","0.0"
"All","Linux Fileset","\\10.244.1.146\TSProfiles$","Remote","NL Two Weeks NAS","2018-01-23 13:21:25","42.0","0.0","16.8","0.0"
"All","Linux Fileset","\\10.244.1.146\VCGI","Remote","NL Two Weeks NAS","2018-03-20 11:21:39","12098.0","0.0","9974.7","0.0"
"All","Linux Fileset","\\10.244.1.146\VCJTC","Remote","NL Two Weeks NAS","2018-01-21 13:46:17","704.1","0.0","72.5","0.0"
"All","Linux Fileset","\\10.244.1.146\VCW","Remote","NL Two Weeks NAS","2018-01-21 13:47:14","52.3","0.0","3.8","0.0"
"All","Linux Fileset","\\10.244.1.146\VLC","Remote","NL Two Weeks NAS","2018-01-21 13:47:56","94.0","0.0","-333.6","0.0"
"All","Linux Fileset","\\10.244.1.146\VRB","Remote","NL Two Weeks NAS","2018-01-21 13:49:23","2.8","0.0","5.2","0.0"
"All","Linux Fileset","\\10.244.1.146\VVH","Remote","NL Two Weeks NAS","2018-01-23 09:02:22","607.2","0.0","177.7","0.0"
"All","Linux Fileset","\\10.244.1.146\WC","Remote","NL Two Weeks NAS","2018-01-23 09:02:45","25.1","0.0","0.0","0.0"
"All","Linux Fileset","\\10.244.1.146\WS","Remote","NL Two Weeks NAS","2018-01-23 09:03:04","18.0","0.0","0.6","0.0"
"All","Linux Fileset","\\10.246.14.28\root01$","Remote","NL Two Weeks NAS","2018-02-02 09:15:11","1227.6","0.0","-2074.6","0.0"
"All","Linux Fileset","\\159.105.132.105\AHS-CO","Remote","NL Two Weeks NAS","2018-02-09 09:38:18","6585.1","0.0","10111.5","0.0"
