"Object Name","Object Type","Location","Cluster Location","SLA Domain","Protected On","Total Local Storage (GB)","Total Archive Storage (GB)","Local Storage Growth (MB/day)","Archive Storage Growth (MB/day)"
"Generic Linux excluding basic ephemeral dirs","Linux Fileset","10.80.4.111","Remote","Testing client","2017-11-14 12:53:35","3.0","0.0","-0.0","0.0"
"All","Linux Fileset","\\10.244.1.146\ACCD","Remote","NL Two Weeks NAS","2018-01-15 12:25:40","5460.2","0.0","1892.0","0.0"
"All","Linux Fileset","\\10.244.1.146\ACD","Remote","NL Two Weeks NAS","2018-01-15 12:11:13","294.8","0.0","-126.8","0.0"
"All","Linux Fileset","\\10.244.1.146\ADM","Remote","NL Two Weeks NAS","2018-01-15 12:14:54","28.1","0.0","6.1","0.0"
"All","Linux Fileset","\\10.244.1.146\AGR","Remote","NL Two Weeks NAS","2018-01-15 12:15:19","2143.4","0.0","3545.8","0.0"
"All","Linux Fileset","\\10.244.1.146\AUD","Remote","NL Two Weeks NAS","2018-01-15 12:12:59","137.4","0.0","52.4","0.0"
"All","Linux Fileset","\\10.244.1.146\BGS","Remote","NL Two Weeks NAS","2018-01-15 12:11:31","4052.9","0.0","-2256.9","0.0"
"All","Linux Fileset","\\10.244.1.146\DHR","Remote","NL Two Weeks NAS","2018-01-15 12:12:13","2027.7","0.0","3510.2","0.0"
"All","Linux Fileset","\\10.244.1.146\DII","Remote","NL Two Weeks NAS","2018-01-15 12:14:20","1156.8","0.0","288.8","0.0"
"All","Linux Fileset","\\10.244.1.146\EXE","Remote","NL Two Weeks NAS","2018-01-15 12:13:27","32.2","0.0","-8.7","0.0"
"All","Linux Fileset","\\10.244.1.146\FIN","Remote","NL Two Weeks NAS","2018-01-15 12:13:50","241.8","0.0","55.7","0.0"
"All","Linux Fileset","\\10.244.1.146\FSD","Remote","NL Two Weeks NAS","2018-01-15 12:12:35","38.7","0.0","43.4","0.0"
"All","Linux Fileset","\\10.244.1.146\GMCB","Remote","NL Two Weeks NAS","2018-01-15 12:11:49","283.3","0.0","-162.9","0.0"
"All","Linux Fileset","\\10.244.1.146\HRC","Remote","NL Two Weeks NAS","2018-01-15 12:10:53","145.3","0.0","129.8","0.0"
"All","Linux Fileset","\\10.244.1.146\LIB","Remote","NL Two Weeks NAS","2018-01-17 08:22:51","258.8","0.0","289.0","0.0"
"All","Linux Fileset","\\10.244.1.146\LRB","Remote","NL Two Weeks NAS","2018-01-17 08:23:29","1.3","0.0","0.2","0.0"
"All","Linux Fileset","\\10.244.1.146\LTG","Remote","NL Two Weeks NAS","2018-01-17 08:24:13","3.9","0.0","-0.1","0.0"
"All","Linux Fileset","\\10.244.1.146\MIL","Remote","NL Two Weeks NAS","2018-01-17 08:25:09","215.2","0.0","24.7","0.0"
"All","Linux Fileset","\\10.244.1.146\PSB","Remote","NL Two Weeks NAS","2018-01-17 08:25:57","250.3","0.0","129.3","0.0"
"All","Linux Fileset","\\10.244.1.146\PSD","Remote","NL Two Weeks NAS","2018-01-17 08:26:35","1204.0","0.0","143.9","0.0"
"All","Linux Fileset","\\10.244.1.146\RM","Remote","NL Two Weeks NAS","2018-01-17 08:27:30","89.4","0.0","578.3","0.0"
"All","Linux Fileset","\\10.244.1.146\SAS","Remote","NL Two Weeks NAS","2018-01-23 14:17:31","14393.5","0.0","11319.1","0.0"
"All","Linux Fileset","\\10.244.1.146\TSProfiles$","Remote","NL Two Weeks NAS","2018-01-23 13:21:25","41.9","0.0","14.1","0.0"
"All","Linux Fileset","\\10.244.1.146\VCGI","Remote","NL Two Weeks NAS","2018-03-20 11:21:39","12099.9","0.0","370.6","0.0"
"All","Linux Fileset","\\10.244.1.146\VCJTC","Remote","NL Two Weeks NAS","2018-01-21 13:46:17","704.1","0.0","60.2","0.0"
"All","Linux Fileset","\\10.244.1.146\VCW","Remote","NL Two Weeks NAS","2018-01-21 13:47:14","52.3","0.0","3.3","0.0"
"All","Linux Fileset","\\10.244.1.146\VLC","Remote","NL Two Weeks NAS","2018-01-21 13:47:56","94.0","0.0","-319.0","0.0"
"All","Linux Fileset","\\10.244.1.146\VRB","Remote","NL Two Weeks NAS","2018-01-21 13:49:23","2.8","0.0","5.2","0.0"
"All","Linux Fileset","\\10.244.1.146\VVH","Remote","NL Two Weeks NAS","2018-01-23 09:02:22","607.2","0.0","167.6","0.0"
"All","Linux Fileset","\\10.244.1.146\WC","Remote","NL Two Weeks NAS","2018-01-23 09:02:45","25.1","0.0","-0.1","0.0"
